artist_name,track_name,release_date,genre
snoop dogg,"ain't no fun (if the homies cant have none) (feat. nate dogg, warren g & kurupt)",1993,pop
naughty by nature,hip hop hooray,1993,pop
the lemonheads,into your arms,1993,pop
wu-tang clan,shame on a nigga,1993,pop
the smashing pumpkins,mayonaise,1993,pop
duran duran,come undone,1993,pop
mariah carey,without you,1993,pop
duran duran,ordinary world,1993,pop
seaweed,losing skin,1993,pop
counting crows,time and time again,1993,pop
counting crows,a murder of one,1993,pop
mary wells,what love has joined together,1993,pop
frank black,i heard ramona sing,1993,pop
candlebox,don't you,1993,pop
salt-n-pepa,whatta man (feat. en vogue),1993,pop
archers of loaf,web in front,1993,pop
snoop dogg,bathtub,1993,pop
a tribe called quest,clap your hands,1993,pop
candlebox,change,1993,pop
cracker,get off this,1993,pop
the four aces,heart and soul,1993,pop
ice cube,down for whatever,1993,pop
brian hyland,sealed with a kiss,1993,pop
the smashing pumpkins,quiet,1993,pop
big head todd and the monsters,broken hearted savior,1993,pop
tears for fears,break it down again,1993,pop
mazzy star,five string serenade,1993,pop
faith hill,piece of my heart,1993,pop
mariah carey,anytime you need a friend,1993,pop
glass tiger,don't forget me (when i'm gone),1993,pop
slowdive,souvlaki space station,1993,pop
counting crows,sullivan street,1993,pop
pj harvey,rid of me,1993,pop
the smashing pumpkins,geek u.s.a.,1993,pop
dave matthews band,seek up,1993,pop
a tribe called quest,we can get down,1993,pop
hootie & the blowfish,i'm goin' home,1994,pop
mary j. blige,don't go,1994,pop
311,homebrew,1994,pop
heather nova,island,1994,pop
brandy,brokenhearted,1994,pop
tom petty,only a broken heart,1994,pop
hootie & the blowfish,let her cry,1994,pop
the jesus and mary chain,sometimes always,1994,pop
portishead,biscuit,1994,pop
the cranberries,ridiculous thoughts,1994,pop
toadies,away,1994,pop
low,words,1994,pop
phish,down with disease,1994,pop
guided by voices,i am a scientist,1994,pop
mary j. blige,you gotta believe,1994,pop
the cranberries,i can't be with you,1994,pop
toad the wet sprocket,fall down,1994,pop
the offspring,genocide,1994,pop
the offspring,what happened to you?,1994,pop
aaliyah,down with the clique,1994,pop
mariah carey,o holy night,1994,pop
hole,jennifer's body,1994,pop
rancid,radio,1994,pop
the notorious b.i.g.,friend of mine,1994,pop
anne murray,broken hearted me,1994,pop
hole,rock star,1994,pop
live,shit towne,1994,pop
"clarence ""frogman"" henry",ain't got no home,1994,pop
k. s. chithra,kehna hi kya,1994,pop
nofx,perfect government,1994,pop
built to spill,reasons,1994,pop
bad religion,stranger than fiction,1994,pop
violent femmes,color me once,1994,pop
mariah carey,santa claus is comin' to town,1994,pop
cake,mr. mastodon farm,1994,pop
medicine,time baby iii,1994,pop
outkast,myintrotoletuknow,1994,pop
craig mack,get down,1994,pop
lagwagon,know it all,1994,pop
blink-182,tv,1994,pop
tlc,sumthin' wicked this way comes,1994,pop
jeff buckley,mojo pin,1994,pop
hole,plump,1994,pop
the notorious b.i.g.,#!*@ me,1994,pop
gang starr,code of the streets,1994,pop
nofx,lori meyers,1994,pop
rancid,side kick,1994,pop
stereolab,ping pong,1994,pop
portishead,pedestal,1994,pop
phish,scent of a mule,1994,pop
boyz ii men,thank you,1994,pop
the cranberries,everything i said,1994,pop
tom petty,don't fade on me,1994,pop
blink-182,sometimes,1994,pop
the cranberries,the icicle melts,1994,pop
the offspring,bad habit,1994,pop
live,the dam at otter creek,1994,pop
the cranberries,daffodil lament,1994,pop
toadies,backslider,1994,pop
the cranberries,dreaming my dreams,1994,pop
the offspring,nitro (youth energy),1994,pop
green day,burnout,1994,pop
pavement,range life,1994,pop
nas,it ain't hard to tell,1994,pop
stone temple pilots,big empty,1994,pop
nofx,linoleum,1994,pop
the notorious b.i.g.,warning,1994,pop
gang starr,mass appeal,1994,pop
green day,she,1994,pop
veruca salt,seether,1994,pop
common,resurrection,1994,pop
aaliyah,age ain't nothing but a number,1994,pop
portishead,roads,1994,pop
weezer,in the garage,1994,pop
the notorious b.i.g.,suicidal thoughts,1994,pop
anne murray,could i have this dance,1994,pop
the smashing pumpkins,landslide,1994,pop
sponge,plowed,1994,pop
sinéad o'connor,all apologies,1994,pop
da brat,funkdafied,1994,pop
green day,longview,1994,pop
tom petty,wildflowers,1994,pop
beck,loser,1994,pop
the cranberries,zombie,1994,pop
aaliyah,back & forth,1994,pop
blues traveler,hook,1994,pop
pretenders,i'll stand by you,1994,pop
dinosaur jr.,feel the pain,1994,pop
live,i alone,1994,pop
mary j. blige,my life,1994,pop
warren g,do you see,1994,pop
townes van zandt,dead flowers,1994,pop
portishead,numb,1994,pop
mariah carey,christmas (baby please come home),1994,pop
nofx,leave it alone,1994,pop
the offspring,come out and play,1994,pop
jeff buckley,grace,1994,pop
lloyd price,personality,1994,pop
nas,the genesis,1994,pop
built to spill,distopian dream girl,1994,pop
mary j. blige,i love you,1994,pop
madonna,take a bow,1994,pop
tom petty,to find a friend,1994,pop
portishead,mysterons,1994,pop
changing faces,stroke you up,1994,pop
mary j. blige,you bring me joy,1994,pop
weezer,holiday,1994,pop
toadies,tyler,1994,pop
green day,sassafras roots,1994,pop
kenny loggins,return to pooh corner,1994,pop
green day,chump,1994,pop
meat puppets,backwater,1994,pop
green day,pulling teeth,1994,pop
green day,coming clean,1994,pop
nofx,don't call me white,1994,pop
mary j. blige,mary jane (all night long),1994,pop
live,selling the drama,1994,pop
the notorious b.i.g.,just playing (dreams),1994,pop
the notorious b.i.g.,unbelievable,1994,pop
tom petty,crawling back to you,1994,pop
coolio,fantastic voyage,1994,pop
scarface,no tears,1994,pop
hootie & the blowfish,running from an angel,1994,pop
the smashing pumpkins,galapogos,1995,pop
shania twain,the woman in me (needs the man in you),1995,pop
mariah carey,melt away,1995,pop
no doubt,tragic kingdom,1995,pop
john prine,lake marie,1995,pop
better than ezra,in the blood,1995,pop
the smashing pumpkins,cupid de locke,1995,pop
our lady peace,starseed,1995,pop
gladys knight & the pips,if i were your woman,1995,pop
the smashing pumpkins,to forgive,1995,pop
stereolab,french disko,1995,pop
tricky,hell is round the corner,1995,pop
coolio,1-2-3-4 (sumpin' new),1995,pop
green day,geek stink breath,1995,pop
whitney houston,why does it hurt so bad,1995,pop
ol' dirty bastard,hippa to da hoppa,1995,pop
raekwon,criminology,1995,pop
coolio,gangsta's paradise,1995,pop
alanis morissette,head over feet,1995,pop
boyzone,love me for a reason,1995,pop
björk,i miss you,1995,pop
no doubt,world go 'round,1995,pop
jewel,near you always,1995,pop
björk,isobel,1995,pop
annie lennox,train in vain,1995,pop
guided by voices,"as we go up, we go down",1995,pop
elliott smith,coming up roses,1995,pop
rancid,the 11th hour,1995,pop
mariah carey,long ago,1995,pop
green day,no pride,1995,pop
natalie merchant,beloved wife,1995,pop
guided by voices,a salty salute,1995,pop
big l,lifestylez ov da poor & dangerous,1995,pop
tracy chapman,i'm ready,1995,pop
mariah carey,daydream interlude,1995,pop
no doubt,total hate '95,1995,pop
michael jackson,d.s.,1995,pop
björk,enjoy,1995,pop
the goo goo dolls,naked,1995,pop
michael jackson,money,1995,pop
alanis morissette,forgiven,1995,pop
sheena easton,telefone (long distance love affair),1995,pop
faith evans,love don't live here anymore,1995,pop
green day,panic song,1995,pop
shania twain,home ain't where his heart is (anymore),1995,pop
bone thugs-n-harmony,me killa,1995,pop
green day,stuart and the ave.,1995,pop
green day,westbound sign,1995,pop
olivia newton-john,please mr. please,1995,pop
michael jackson,tabloid junkie,1995,pop
green day,86,1995,pop
tracy chapman,at this point in my life,1995,pop
jodeci,love u 4 life,1995,pop
alanis morissette,you learn,1995,pop
soul for real,every little thing i do,1995,pop
collective soul,december,1995,pop
the rembrandts,i'll be there for you,1995,pop
